Type of land use in floodplains										
Water			Concrete/Settlement			Silt			Vegetation	
28.74897	77.175997		28.746478	77.185588		28.78183	77.166809		28.749443	77.173167
28.749292	77.176409		28.744878	77.185547		28.781757	77.166778		28.749059	77.172821
28.749038	77.176137		28.744927	77.185641		28.780973	77.167685		28.748395	77.173227
28.749564	77.178033		28.744861	77.186353		28.778527	77.16805		28.74871	77.172547
28.749417	77.177921		28.743713	77.186764		28.77829	77.168063		28.748333	77.172439
28.749285	77.177888		28.743681	77.187297		28.778974	77.168074		28.748327	77.172011
28.749196	77.177765		28.743316	77.188003		28.778811	77.168119		28.748987	77.171797
28.749157	77.177701		28.742995	77.188897		28.778871	77.168305		28.748784	77.172267
28.749151	77.177551		28.741571	77.188802		28.778816	77.168193		28.748791	77.172238
28.749144	77.177434		28.742378	77.189062		28.779062	77.168143		28.748324	77.172315
28.749055	77.177241		28.741079	77.189648		28.778886	77.168196		28.748262	77.172521
28.749263	77.177275		28.740977	77.190015		28.780615	77.168826		28.747337	77.170624
28.74896	77.177056		28.740204	77.190785		28.780514	77.169051		28.747483	77.170681
28.748898	77.176979		28.740029	77.191202		28.780582	77.168829		28.747488	77.170459
28.749299	77.176544		28.740981	77.191849		28.781046	77.169065		28.746706	77.169893
28.747888	77.178017		28.738853	77.193363		28.773911	77.174859		28.747738	77.169661
28.747474	77.177886		28.738687	77.193788		28.774001	77.17489		28.748023	77.169781
28.74695	77.177329		28.738573	77.193702		28.774031	77.1747		28.747872	77.168643
28.746734	77.176935		28.738524	77.193668		28.773879	77.174871		28.748087	77.168816
28.745474	77.174723		28.737913	77.19391		28.773868	77.175052		28.74706	77.168808
28.746245	77.173869		28.737844	77.194497		28.773895	77.174794		28.747066	77.168102
28.746125	77.172441		28.738011	77.194358		28.739116	77.164015		28.747892	77.168595
28.745718	77.172488		28.744399	77.176524		28.739138	77.164315		28.740297	77.166702
28.744686	77.171968		28.744549	77.177039		28.738939	77.163313		28.738721	77.167372
28.744419	77.171844		28.739386	77.165929		28.738889	77.163187		28.738242	77.164843
28.744344	77.171493		28.73914	77.16606		28.73887	77.163067		28.738199	77.163544
28.743354	77.172447		28.739093	77.166311		28.738504	77.164701		28.73836	77.162834
28.749426	77.178781		28.739019	77.16676		28.738485	77.164802		28.738305	77.162263
28.749334	77.178995		28.739335	77.165337		28.738402	77.16657		28.737485	77.160006
28.749488	77.178		28.739008	77.16585		28.736902	77.171458		28.736727	77.15788
28.743022	77.169374		28.739161	77.166131		28.736803	77.171503		28.73669	77.157849
28.743283	77.169564		28.739094	77.166402		28.735804	77.174218		28.736444	77.157414
28.743378	77.169135		28.739055	77.166598		28.735475	77.176919		28.735997	77.156814
28.743113	77.169801		28.73899	77.166738		28.735513	77.176817		28.736359	77.156234
28.74347	77.169089		28.738946	77.167102		28.735416	77.177047		28.735681	77.156153
28.74278	77.169222		28.738924	77.167392		28.735683	77.176353		28.735586	77.156087
28.741856	77.169168		28.738666	77.167928		28.735547	77.176743		28.736226	77.156105
28.742087	77.168822		28.738004	77.167692		28.735718	77.176292		28.752403	77.180989
28.745271	77.170548		28.738365	77.167807		28.735719	77.176289		28.752579	77.181299
28.746434	77.171779		28.737674	77.167613		28.735398	77.177071		28.752762	77.181508
28.74011	77.168887		28.737226	77.167946		28.736826	77.177849		28.753206	77.181539
Yamuna River- Agra										
Water			Concrete			Silt			Vegetation	
27.180049	78.030521		27.187435	78.029615		27.188247	78.025702		27.186	78.02426
27.180385	78.031073		27.187788	78.029523		27.188549	78.025727		27.185706	78.024325
27.180533	78.031214		27.187825	78.02975		27.188523	78.025555		27.185955	78.024127
27.181006	78.031208		27.187835	78.029943		27.188313	78.025469		27.185858	78.023727
27.180734	78.03161		27.187723	78.030009		27.188984	78.025727		27.186321	78.024405
27.180298	78.032108		27.187525	78.030087		27.188496	78.026911		27.186388	78.024157
27.180114	78.031683		27.187512	78.030233		27.188275	78.026845		27.186604	78.024472
27.180732	78.030957		27.187507	78.030462		27.188874	78.025791		27.187472	78.024572
27.181358	78.030414		27.187167	78.030507		27.18864	78.025597		27.186528	78.024983
27.181906	78.029949		27.186797	78.029993		27.188571	78.025737		27.187205	78.027409
27.182847	78.029515		27.186604	78.030104		27.188116	78.025637		27.187415	78.027312
27.183239	78.029272		27.186709	78.03029		27.177556	78.037956		27.187483	78.027462
27.183393	78.02954		27.186733	78.030603		27.177639	78.037119		27.187227	78.02782
27.185051	78.028895		27.186652	78.030971		27.177834	78.036557		27.187183	78.027044
27.185329	78.028745		27.186208	78.030522		27.177948	78.036207		27.187664	78.027229
27.185809	78.028873		27.185805	78.030928		27.177363	78.034698		27.187873	78.027224
27.186165	78.028826		27.186073	78.031086		27.177234	78.034896		27.1877	78.027726
27.186561	78.02884		27.186115	78.030941		27.177645	78.034301		27.187232	78.027809
27.187047	78.02884		27.185935	78.02981		27.177457	78.03358		27.185779	78.0276
27.187869	78.028575		27.185746	78.03004		27.177311	78.033805		27.183257	78.030489
27.188541	78.028		27.185468	78.030708		27.177556	78.033377		27.183767	78.030576
27.188953	78.02767		27.189743	78.031191		27.177761	78.033084		27.180643	78.032298
27.190213	78.027565		27.189412	78.0313		27.176082	78.031348		27.180203	78.032826
27.190509	78.027348		27.189573	78.030332		27.176644	78.030573		27.179623	78.033529
27.191008	78.027719		27.190399	78.031287		27.176668	78.029331		27.178927	78.040151
27.191313	78.028059		27.190433	78.031703		27.176803	78.030264		27.178655	78.041001
27.191708	78.027882		27.190696	78.031722		27.17661	78.030548		27.178615	78.041197
27.191996	78.028046		27.190946	78.032087		27.180618	78.051393		27.17855	78.041026
27.192254	78.028313		27.19134	78.031918		27.18028	78.050855		27.179207	78.041548
27.191936	78.028156		27.191545	78.032131		27.181981	78.052762		27.180225	78.042218
27.193122	78.028596		27.192866	78.031054		27.182124	78.053237		27.180701	78.04303
27.193663	78.029065		27.192836	78.031223		27.182242	78.054201		27.180216	78.041511
27.193907	78.029052		27.192739	78.031146		27.182417	78.054438		27.18069	78.040939
27.194328	78.028887		27.19282	78.030913		27.182463	78.054635		27.180828	78.040852
27.194599	78.0288		27.192946	78.030902		27.181974	78.053181		27.181476	78.040828
27.194291	78.029684		27.19306	78.030299		27.182009	78.052714		27.181455	78.041288
27.194595	78.029929		27.192168	78.030142		27.182602	78.053873		27.181395	78.040859
27.194769	78.029645		27.19157	78.030411		27.182703	78.053611		27.181593	78.041234
27.195439	78.029321		27.19155	78.030116		27.18289	78.053453		27.181589	78.040774
27.195639	78.029908		27.190508	78.030597		27.183031	78.053929		27.181585	78.040608
27.196079	78.030481		27.188917	78.022617		27.182766	78.054767		27.181516	78.041233
27.196622	78.031075		27.188951	78.022983		27.183275	78.054686		27.181645	78.042113
27.197209	78.030592		27.188809	78.022419		27.183491	78.054412		27.181529	78.042803
27.197678	78.030992		27.189053	78.022527		27.183681	78.054207		27.175727	78.043195
27.198226	78.031577		27.189402	78.022966		27.184223	78.05428		27.175783	78.043001
